,Location Id,Business Account Number,Ownership Name,DBA Name,Street Address,City,State,Source Zipcode,Business Start Date,Business End Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code,NAICS Code Description,Parking Tax,Transient Occupancy Tax,LIC Code,LIC Code Description,Supervisor District,Hoods,Business Corridor,Business Location,UniqueID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods,Start_Year,Start_Date
98803,1225952-06-191,168329,Bon Appetit Management Co,City Bistro West Club 300,1 Warriors Way Lvl 300 West,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H36,Stadium Concession,6.0,Mission Bay,,POINT (-122.386406 37.768967),1225952-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
98831,1177107-01-181,1082777,Oak Mission Llc,Oak Mission Llc,Mission St,San Francisco,CA,94110,01/01/2018,,01/01/2018,,3650 Mt Diablo Blvd 220 Ste,Lafayette,94549,CA,5300-5399,Real Estate and Rental and Leasing Services,False,False,Hhh,,9.0,Mission,,POINT (-122.418564 37.753345),1177107-01-181-1082777-5300-5399-01-01-2018,53.0,3.0,2.0,20.0,53.0,2018,2018-01-01
99066,1304783-05-221,1018039,Danan Arielle,Beber Inc.,725 Greenwich St,San Francisco,CA,94133-2700,09/09/2015,,04/30/2022,,144 Meyers St Ste 140,Chico,95928,CA,4400-4599,Retail Trade,False,False,H34,Caterer Retail Food Vehicles,3.0,North Beach,,POINT (-122.41181 37.801994),1304783-05-221-1018039-4400-4599-04-30-2022,106.0,6.0,3.0,23.0,106.0,2022,2022-04-30
99215,1304866-05-221,1109533,Spro Up Llc,Grand Coffee,2544 Mission St,San Francisco,CA,94110-2512,12/09/2019,,05/01/2022,,2544 Mission St,San Francisco,94110,CA,7220-7229,Food Services,False,False,H28,Take-Out Establishment,9.0,Mission,,POINT (-122.41886 37.756306),1304866-05-221-1109533-7220-7229-05-01-2022,53.0,3.0,2.0,20.0,53.0,2022,2022-05-01
99284,1287308-09-211,1082866,"Afterpay Us, Inc","Afterpay Us, Inc.",760 Market St Fl 2,San Francisco,CA,94102-2402,01/15/2018,,01/15/2018,,760 Market St Fl 2 And 3,San Francisco,94102,CA,5210-5239,Financial Services,False,False,D04,Places Of Public Assembly & Open-Air Assembly,6.0,Financial District/South Beach,,POINT (-122.404945 37.786545),1287308-09-211-1082866-5210-5239-01-15-2018,19.0,5.0,3.0,8.0,19.0,2018,2018-01-15
99797,1197712-08-181,1082881,Malik Brothers Llc,Roti,1700 O Farrell,San Francisco,CA,94115,01/30/2018,,08/10/2018,,23684 Clawiter Rd,Hayward,94545,CA,7220-7229,Food Services,False,False,H34,Caterer Retail Food Vehicles,5.0,Western Addition,,POINT (-122.43279 37.78333),1197712-08-181-1082881-7220-7229-08-10-2018,97.0,4.0,11.0,39.0,97.0,2018,2018-08-10
100145,1225932-06-191,168329,Bon Appetit Management Co,Chase Club Grill,1 Warriors Way Event Lvl South East,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H33,Commissary,6.0,Mission Bay,,POINT (-122.386406 37.768967),1225932-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
100176,1294792-01-221,44859,Pacific Gas & Electric Co,Pg&e,3620 Buchanan St,San Franciso,CA,94123-1709,10/01/1968,,01/07/2022,,Po Box 7054,San Francisco,94120,CA,,,False,False,H60,Wells And Well Water,2.0,Marina,,POINT (-122.43334 37.803314),1294792-01-221-0044859--01-07-2022,17.0,4.0,6.0,13.0,17.0,2022,2022-01-07
100976,1226003-06-191,168329,Bon Appetit Management Co,North East Bar 300,1 Warriors Way Lvl 300 North,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H87,Bars/taverns W/food Prep,6.0,Mission Bay,,POINT (-122.386406 37.768967),1226003-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
101126,1183843-04-181,1085818,"La Deli Nostra, Llc",Palermo Ii Delicatessen,658 Vallejo St,San Francisco,CA,94133,03/09/2018,,03/09/2018,,658 Vallejo St,San Francisco,94133,CA,7220-7229,Food Services,False,False,H24 Pos01 Wm18,Multiple,3.0,Chinatown,,POINT (-122.408264 37.79867),1183843-04-181-1085818-7220-7229-03-09-2018,106.0,6.0,3.0,6.0,106.0,2018,2018-03-09
101307,1305585-05-221,1071978,Nawid Rahimi,Donna's Tamales,725 Greenwich St,San Francisco,CA,94133-2700,06/01/2017,,05/20/2022,,2059 Marazzani Dr,Martinez,94553,CA,7220-7229,Food Services,False,False,H34,Caterer Retail Food Vehicles,3.0,North Beach,,POINT (-122.41181 37.801994),1305585-05-221-1071978-7220-7229-05-20-2022,106.0,6.0,3.0,23.0,106.0,2022,2022-05-20
102198,1305855-05-221,1129441,Stephen Cajilig,Stephen Cajilig,3251 20th Ave,San Francisco,CA,94132-1900,11/01/2021,,05/24/2022,,96 Entrada Ct,San Francisco,94127,CA,7220-7229,Food Services,False,False,H34,Caterer Retail Food Vehicles,7.0,Lakeshore,,POINT (-122.47604 37.729206),1305855-05-221-1129441-7220-7229-05-24-2022,41.0,10.0,8.0,16.0,41.0,2022,2022-05-24
102358,1178267-02-181,1083290,Jmd International Group Inc,Teapenter,1518 Irving St,San Francisco,CA,94122-1909,02/06/2018,07/01/2022,02/06/2018,07/01/2022,,,,,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",7.0,Inner Sunset,,POINT (-122.47418 37.763718),1178267-02-181-1083290-7220-7229-02-06-2018,109.0,10.0,11.0,14.0,109.0,2018,2018-02-06
102416,1302920-04-221,468341,It'sugar Llc,It'sugar Llc,2 Stockton St,San Francisco,CA,94108-5830,05/23/2012,,04/21/2022,,201 E Las Olas Blvd Ste 1900,Fort Lauderdale,33301,FL,7220-7229,Food Services,False,False,H06 Pos01 Wm30,Multiple,6.0,Financial District/South Beach,,POINT (-122.405945 37.785774),1302920-04-221-0468341-7220-7229-04-21-2022,19.0,5.0,3.0,8.0,19.0,2022,2022-04-21
103234,1226055-06-191,168329,Bon Appetit Management Co,East Bar 600,1 Warriors Way Lvl 600 East,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H87,Bars/taverns W/food Prep,6.0,Mission Bay,,POINT (-122.386406 37.768967),1226055-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
103275,1226076-06-191,168329,Bon Appetit Management Co,South East Portable Bar B 600,1 Warriors Way Lvl 600 South East,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H87,Bars/taverns W/food Prep,6.0,Mission Bay,,POINT (-122.386406 37.768967),1226076-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
104176,1306483-05-221,347331,Propark America West Llc,Propark Mobility,8 Mission St,San Francisco,CA,94105-1227,08/01/2001,,05/31/2022,,Po Box 204,San Francisco,94104,CA,,,True,False,P48,Valet Parking - Fixed Location,3.0,Financial District/South Beach,,POINT (-122.3927 37.793648),1306483-05-221-0347331--05-31-2022,108.0,1.0,3.0,8.0,108.0,2022,2022-05-31
104270,1306492-05-221,375484,Usa Autobody & Painting Inc,Usa Automody & Painting Inc,1655 Jerrold Ave,San Francisco,CA,94124-2134,01/01/2004,,05/31/2022,,1655 Jerrold Ave,San Francisco,94124,CA,,,False,False,D10 D23 D39,Multiple,10.0,Bayview Hunters Point,,POINT (-122.390396 37.739326),1306492-05-221-0375484--05-31-2022,86.0,2.0,9.0,1.0,86.0,2022,2022-05-31
104502,1179145-02-181,1083657,Euisung Kim,Izakaya Yoki,900 Bush St,San Francisco,CA,94109,02/13/2018,,02/13/2018,,900 Bush St # 101,San Francisco,94109,CA,7220-7229,Food Services,False,False,D04 D19 H25,Multiple,3.0,Nob Hill,,POINT (-122.41273 37.789894),1179145-02-181-1083657-7220-7229-02-13-2018,50.0,6.0,3.0,21.0,50.0,2018,2018-02-13
105309,1225936-06-191,168329,Bon Appetit Management Co,Chase Club Pizza,1 Warriors Way Event Lvl South West,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H36,Stadium Concession,6.0,Mission Bay,,POINT (-122.386406 37.768967),1225936-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
105499,1306777-06-221,481127,Diab Eman M,Da Hot Spot,201 Turk St # A,San Francisco,CA,94102-3852,07/04/2013,,06/02/2022,,201 Turk St A Ste,San Francisco,94102,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",5.0,Tenderloin,,POINT (-122.41252 37.782963),1306777-06-221-0481127-7220-7229-06-02-2022,20.0,5.0,10.0,36.0,20.0,2022,2022-06-02
105927,1307099-06-221,478304,Mikado Sushi Inc,Kaya House,1684 Bryant St,San Francisco,CA,94103-4809,04/01/2013,,06/01/2022,,1684 Bryant St,San Francisco,94103,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",9.0,Mission,,POINT (-122.410545 37.765854),1307099-06-221-0478304-7220-7229-06-01-2022,53.0,3.0,2.0,20.0,53.0,2022,2022-06-01
106399,1307423-06-221,453323,Sweet Jane's Llc,Little Jane On California,3585 California St,San Francisco,CA,94118-1707,10/13/2010,,06/10/2022,,2123 Fillmore St,San Francisco,94115,CA,7220-7229,Food Services,False,False,H89,Retail Bakeries W/o Food Prep,2.0,Presidio Heights,,POINT (-122.45309 37.786427),1307423-06-221-0453323-7220-7229-06-10-2022,11.0,8.0,6.0,31.0,11.0,2022,2022-06-10
106752,1244378-01-201,1090979,"415 Native, Llc",Fig & Thistle Apothecary,313 Ivy St,San Francisco,CA,94102,07/12/2018,,01/29/2020,,425 Gough St,San Francisco,94114,CA,,,False,False,Crp,,5.0,Hayes Valley,,POINT (-122.423355 37.777287),1244378-01-201-1090979--01-29-2020,22.0,4.0,11.0,9.0,22.0,2020,2020-01-29
106862,1179686-02-181,1083883,Lucas Alexandre Lohmann,Lucas Alexandre Lohmann,4741 Amelia Dr,Fair Oaks,CA,95628,01/04/2018,,01/04/2018,,4741 Amelia Dr,Fair Oaks,95628,CA,,,False,False,J02,Body Art Practitioner,,,,POINT (-121.29475 38.65147),1179686-02-181-1083883--01-04-2018,,,,,,2018,2018-01-04
107017,1301418-03-221,1083885,Tony Jackson Vyeda,Tonya Vyeda,2063 Mission St,San Francisco,CA,94110-1217,01/04/2018,,03/31/2022,08/17/2022,2063 Mission St,San Francisco,94110,CA,,,False,False,J02,Body Art Practitioner,9.0,Mission,,POINT (-122.41954 37.76405),1301418-03-221-1083885--03-31-2022,53.0,3.0,2.0,20.0,53.0,2022,2022-03-31
107119,1226025-06-191,168329,Bon Appetit Management Co,Suites Pantry,1 Warriors Way Lvl 400 South East,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H36,Stadium Concession,6.0,Mission Bay,,POINT (-122.386406 37.768967),1226025-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
107464,1308098-06-221,1096839,Butter& Llc,Butter&,690 Indiana St,San Francisco,CA,94107-3022,12/18/2018,,06/21/2022,,690 Indiana St,San Francisco,94107,CA,7220-7229,Food Services,False,False,D04 H25,Multiple,10.0,Potrero Hill,,POINT (-122.39159 37.761776),1308098-06-221-1096839-7220-7229-06-21-2022,55.0,2.0,9.0,26.0,55.0,2022,2022-06-21
108829,1308559-06-221,1132991,"Eco Terreno Wines, Inc",Eco Terreno Wines,124 Columbus Ave,San Francisco,CA,94133-5102,03/08/2022,,06/01/2022,,19410 Highway 12,Sonoma,95476,CA,,,False,False,D04 H26 P23,Multiple,3.0,Chinatown,,POINT (-122.40472 37.79655),1308559-06-221-1132991--06-01-2022,106.0,6.0,3.0,6.0,106.0,2022,2022-06-01
109061,1264925-12-201,1119422,Benjamin Ralph Sanchez Ii,All Tire,359 Potrero Ave,San Francisco,CA,94103,12/02/2020,,12/02/2020,,359 Potrero Ave,San Francisco,94103,CA,4400-4599,Retail Trade,False,False,D23,,10.0,Mission,,POINT (-122.40743 37.765034),1264925-12-201-1119422-4400-4599-12-02-2020,54.0,3.0,9.0,20.0,54.0,2020,2020-12-02
109179,1286370-09-211,385922,"New Cingular Wireless Pcs, Llc","New Cingular Wireless Pcs, Llc",2000 Van Ness Ave,San Francisco,CA,94109-3023,01/01/2005,,02/08/2021,,1010 N Saint Marys St Fl 15,San Antonio,78215,TX,,,False,False,D27,Storage And Use Of Battery Systems,3.0,Russian Hill,,POINT (-122.42296 37.794),1286370-09-211-0385922--02-08-2021,105.0,4.0,3.0,32.0,105.0,2021,2021-02-08
109350,1226019-06-191,168329,Bon Appetit Management Co,Tanduay Portable Bar 300,1 Warriors Way Lvl 300 North East,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H87,Bars/taverns W/food Prep,6.0,Mission Bay,,POINT (-122.386406 37.768967),1226019-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
109682,1308904-07-221,377024,Dolores St Community Services,Casa Esperanza,3061 16th St,San Francisco,CA,94103-3421,01/01/1983,,07/01/2022,,938 Valencia St,San Francisco,94110,CA,8100-8139,Certain Services,False,False,Hhh,,9.0,Mission,,POINT (-122.42105 37.764942),1308904-07-221-0377024-8100-8139-07-01-2022,53.0,3.0,2.0,20.0,53.0,2022,2022-07-01
110017,1291777-11-211,1084174,First Impressions Beauty Services Llc,Bluemoon Beauty Salon And Spa,642 Taraval St,San Francisco,CA,94116-2512,02/22/2018,,11/16/2021,,642 Taraval St Bldg,San Francisco,94116,CA,8100-8139,Certain Services,False,False,H67,Massage Establishment,7.0,West of Twin Peaks,,POINT (-122.47295 37.7432),1291777-11-211-1084174-8100-8139-11-16-2021,44.0,10.0,8.0,41.0,44.0,2021,2021-11-16
110475,1268773-02-211,385922,"New Cingular Wireless Pcs, Llc","New Cingular Wireless Pcs, Llc",2300 26th St,San Francisco,CA,94107-3234,01/01/2005,,02/01/2021,,1010 N Saint Marys St Fl 15,San Antonio,78215,TX,,,False,False,D26,Station Tanks - Above Ground,10.0,Potrero Hill,,POINT (-122.4023 37.750603),1268773-02-211-0385922--02-01-2021,54.0,2.0,9.0,26.0,54.0,2021,2021-02-01
110692,1270840-03-211,1088856,Shabu House Valencia Inc.,Alnico,1050 Valencia St,San Francisco,CA,94110,06/08/2018,,03/01/2021,,1050 Valencia St,San Francisco,94110,CA,7220-7229,Food Services,False,False,D04 H26,Multiple,9.0,Mission,,POINT (-122.42107 37.75601),1270840-03-211-1088856-7220-7229-03-01-2021,52.0,3.0,5.0,20.0,52.0,2021,2021-03-01
111073,1309618-07-221,479581,Properfood Llc,Proper Food,45 Fremont St,San Francisco,CA,94105-2204,05/17/2013,,07/12/2022,,350 Townsend St # 682,San Francisco,94107,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",6.0,Financial District/South Beach,,POINT (-122.39752 37.791164),1309618-07-221-0479581-7220-7229-07-12-2022,108.0,6.0,10.0,8.0,108.0,2022,2022-07-12
111278,1309613-07-221,1122096,Bird & Bear Coffee Llc,Bird And Bear Coffee Llc,1377 Fell St,San Francisco,CA,94117-2224,02/24/2021,,06/30/2022,,726 Cole St 3,San Francisco,94117,CA,,,False,False,H34,Caterer Retail Food Vehicles,5.0,Hayes Valley,,POINT (-122.44048 37.773663),1309613-07-221-1122096--06-30-2022,24.0,7.0,11.0,9.0,24.0,2022,2022-06-30
111397,1260030-09-201,1096329,Little Kite,Yoji House,3515 20th St,San Francisco,CA,94110,10/10/2018,10/31/2022,12/31/2018,10/31/2022,,,,,7220-7229,Food Services,False,False,H26,"Restaurant Greater Than 2,000 Sqft",9.0,Mission,,POINT (-122.41941 37.758583),1260030-09-201-1096329-7220-7229-12-31-2018,53.0,3.0,2.0,20.0,53.0,2018,2018-12-31
111535,1226063-06-191,168329,Bon Appetit Management Co,Tony's/city Bistro South 600,1 Warriors Way Lvl 600 South,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H36,Stadium Concession,6.0,Mission Bay,,POINT (-122.386406 37.768967),1226063-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
111554,1226005-06-191,168329,Bon Appetit Management Co,Tacolicious & Republic East Club 300,1 Warriors Way Lvl 300 East,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H36,Stadium Concession,6.0,Mission Bay,,POINT (-122.386406 37.768967),1226005-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
111833,1226082-06-191,168329,Bon Appetit Management Co,Sky Bar,1 Warriors Way Lvl 700 North,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H36,Stadium Concession,6.0,Mission Bay,,POINT (-122.386406 37.768967),1226082-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
112438,1195427-07-181,1090368,Jessica Suting Li & Zhi Quan Wu,Lucky Ocean Cafe,1501 Ocean Ave,San Francisco,CA,94112,07/01/2018,11/30/2022,07/01/2018,11/30/2022,,,,,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",11.0,Oceanview/Merced/Ingleside,,POINT (-122.458305 37.724285),1195427-07-181-1090368-7220-7229-07-01-2018,64.0,10.0,8.0,24.0,64.0,2018,2018-07-01
112546,1264112-11-201,24669,Safeway Inc,Andronico's Community Markets #3066,375 32nd Ave,San Francisco,CA,94121-1738,01/01/1968,,03/24/2021,,251 Little Falls Dr,Wilmington,19808,DE,4400-4599,Retail Trade,False,False,H73 H81 Pos01 Wm18 Wm30,Multiple,1.0,Outer Richmond,,POINT (-122.492455 37.78229),1264112-11-201-0024669-4400-4599-03-24-2021,8.0,8.0,4.0,29.0,8.0,2021,2021-03-24
113359,1270537-02-211,1084642,"Saffa Home Foods, Inc.",Saffa Home Foods,1661 Tennessee St,San Francisco,CA,94107-3582,03/01/2018,,02/01/2021,,29 S Knoll Rd,Mill Valley,94941,CA,7220-7229,Food Services,False,False,H74,Caterer,10.0,Bayview Hunters Point,,POINT (-122.38852 37.750732),1270537-02-211-1084642-7220-7229-02-01-2021,56.0,2.0,9.0,1.0,56.0,2021,2021-02-01
113901,1193655-06-181,1084766,Maria Marquez,95250 C& C Concessions/view Level Vending Room,24 Willie Mays Pl View Lvl Rm 5326,San Francisco,CA,94107,03/09/2018,,03/26/2018,,5623 Cleon Ave,North Hollywood,91601,CA,7220-7229,Food Services,False,False,H36,Stadium Concession,6.0,Mission Bay,,POINT (-122.389496 37.778454),1193655-06-181-1084766-7220-7229-03-26-2018,31.0,1.0,10.0,4.0,31.0,2018,2018-03-26
114094,1279228-06-211,44933,"Aramark Services, Inc.",Aramark Micro Market,405 Howard St Fl 6,San Francisco,CA,94105-2674,01/01/2002,,06/03/2021,,2400 Market St 6 Fl,Philadelphia,19103,PA,,,False,False,H85,Employee Cafeterias W/o Food Prep,6.0,Financial District/South Beach,,POINT (-122.39523 37.789127),1279228-06-211-0044933--06-03-2021,32.0,1.0,10.0,8.0,32.0,2021,2021-06-03
114779,1184171-04-181,1084972,Antonio Garcia,"Umo Bbq, Llc",103 Horne Ave,San Francisco,CA,94188,03/14/2018,,03/14/2018,,1044 Capp St,San Francisco,94110,CA,7220-7229,Food Services,False,False,H74,Caterer,10.0,Bayview Hunters Point,,POINT (-122.36566 37.72665),1184171-04-181-1084972-7220-7229-03-14-2018,78.0,2.0,9.0,1.0,78.0,2018,2018-03-14
115136,1200846-09-181,1092814,Gao Enterprise Inc,Oh Dessert Cafe,1919 Irving St,San Francisco,CA,94122,09/18/2018,,09/18/2018,,1919 Irving St,San Francisco,94122,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",4.0,Sunset/Parkside,,POINT (-122.478455 37.763477),1200846-09-181-1092814-7220-7229-09-18-2018,39.0,10.0,7.0,35.0,39.0,2018,2018-09-18
116421,1303707-04-221,168329,Bon Appetit Management Co,Bon Appetit @ Chime,101 California St Fl 3,San Francisco,CA,94111-5802,07/01/1987,,04/29/2022,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H84,Employee Cafeterias W/food Prep,3.0,Financial District/South Beach,,POINT (-122.39771 37.79347),1303707-04-221-0168329--04-29-2022,108.0,6.0,3.0,8.0,108.0,2022,2022-04-29
116431,1295183-01-221,168329,Bon Appetit Management Co,Bon Appetit @ Wharton Business School,2 Harrison St Fl 6,San Francisco,CA,94105-1672,07/01/1987,,01/13/2022,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,J07,,6.0,Financial District/South Beach,,POINT (-122.38859 37.78953),1295183-01-221-0168329--01-13-2022,30.0,1.0,10.0,8.0,30.0,2022,2022-01-13
117214,1192855-06-181,1085262,33-8th Street Llc,33-8th Street Llc,33 8th St,San Francisco,CA,94103,01/01/2018,,01/01/2018,,1145 Market St Fl 12,San Francisco,94103,CA,5300-5399,Real Estate and Rental and Leasing Services,False,False,D04 D26 D29,Multiple,6.0,South of Market,Central Market,POINT (-122.413475 37.778362),1192855-06-181-1085262-5300-5399-01-01-2018,32.0,5.0,10.0,34.0,32.0,2018,2018-01-01
119902,1238881-11-191,1065975,Earthbar Llc,"Earthbar, Llc / Earthbar",50 Beale St,San Francisco,CA,94105,05/17/2014,,11/19/2019,11/19/2019,10440 Beach Blvd 360 Unit,Stanton,90680,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",6.0,Financial District/South Beach,,POINT (-122.39662 37.79176),1238881-11-191-1065975-7220-7229-11-19-2019,108.0,6.0,10.0,8.0,108.0,2019,2019-11-19
121367,1280892-06-211,1125665,Anna  Mini  Mart  Llc,Anna  Mini  Mart,2347 38 Th Ave,San  Francisco,CA,94116,06/26/2021,,06/26/2021,,2347 38 Th Ave,San  Francisco,94116,CA,4400-4599,Retail Trade,False,False,H03,,4.0,Sunset/Parkside,,POINT (-122.496155 37.743137),1280892-06-211-1125665-4400-4599-06-26-2021,39.0,10.0,7.0,35.0,39.0,2021,2021-06-26
121885,1224083-06-191,1085881,Miguel Blanco Chuc,El Alambre,1 Mobile Caterers,San Francisco,CA,,04/03/2018,04/21/2022,03/07/2019,04/21/2022,,,,,7220-7229,Food Services,False,False,D19,Storage & Use Of Flammable Or Combustible Liquids,,,,POINT (-122.22749 38.128742),1224083-06-191-1085881-7220-7229-03-07-2019,,,,,,2019,2019-03-07
122297,1274884-04-211,1123423,22nd & Irving Produce Market,22nd & Irving Produce Market Inc.,2101 Irving St,San Francisco,CA,94122,07/01/2020,,07/01/2020,,2101 Irving St,San Francisco,94122,CA,4400-4599,Retail Trade,False,False,H04,,4.0,Sunset/Parkside,,POINT (-122.480446 37.76339),1274884-04-211-1123423-4400-4599-07-01-2020,39.0,10.0,7.0,35.0,39.0,2020,2020-07-01
122707,1275019-04-211,1085937,Hong Yun Kim,S'top Roofing Company Inc,1514 Underwood Ave,San Francisco,CA,94124-3214,04/02/2018,,01/01/2021,,1514 Underwood Ave,San Francisco,94124,CA,2300-2399,Construction,False,False,D19 D39,Multiple,10.0,Bayview Hunters Point,,POINT (-122.3903 37.72894),1275019-04-211-1085937-2300-2399-01-01-2021,86.0,2.0,9.0,1.0,86.0,2021,2021-01-01
124445,1285056-08-211,46324,Compass Group Usa Inc,Flik International Corp - Kirkland And Ellis Sf,555 California St Bldg Fl,San Francisco,CA,94104-1503,10/01/1968,,11/01/2020,,2400 Yorkmont Rd,Charlotte,28217,NC,7220-7229,Food Services,False,False,H26 H84,Multiple,3.0,Financial District/South Beach,,POINT (-122.40371 37.792706),1285056-08-211-0046324-7220-7229-11-01-2020,108.0,6.0,3.0,8.0,108.0,2020,2020-11-01
125378,1184457-04-181,1086077,16 Oz.,Black Sugar,320 O'farell St. St,San Francisco,CA,94102,04/04/2018,,04/04/2018,,833 Chadbourne Ave,Millbrae,94030,CA,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",3.0,Tenderloin,,POINT (-122.409874 37.78625),1184457-04-181-1086077-7220-7229-04-04-2018,20.0,5.0,3.0,36.0,20.0,2018,2018-04-04
125621,1230352-08-191,1086092,Donald Michael Budetti,Don Budetti,1 Mobile Caterers,San Francisco,CA,,04/09/2018,,07/16/2019,,212 Dundee Dr,South San Francisco,94080,CA,7220-7229,Food Services,False,False,D19,Storage & Use Of Flammable Or Combustible Liquids,,,,POINT (-122.22749 38.128742),1230352-08-191-1086092-7220-7229-07-16-2019,,,,,,2019,2019-07-16
125793,1217142-03-191,1100062,"Seniore's Pizza S.f, Inc",Seniores Pizza,2415 19th Ave,San Francisco,CA,94116,03/27/2019,,03/27/2019,,2415 19th Ave,San Francisco,94116,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",4.0,Sunset/Parkside,,POINT (-122.47573 37.74273),1217142-03-191-1100062-7220-7229-03-27-2019,40.0,10.0,7.0,35.0,40.0,2019,2019-03-27
127120,1226037-06-191,168329,Bon Appetit Management Co,Theatre Box South West Bar,1 Warriors Way Lvl 500 South West,San Francisco,CA,94158,07/01/1987,,05/28/2019,,201 Redwood Shores Parkway 100 Ste,Redwood City,94065,CA,,,False,False,H87,Bars/taverns W/food Prep,6.0,Mission Bay,,POINT (-122.386406 37.768967),1226037-06-191-0168329--05-28-2019,34.0,1.0,10.0,4.0,34.0,2019,2019-05-28
133497,1185436-04-181,1086516,Lgnc Inc,Platform 248,248 9th St,San Francisco,CA,94103,07/17/2017,02/28/2020,04/18/2018,02/28/2020,,,,,7220-7229,Food Services,False,False,H24,"Restaurant Less Than 1,000 Sqft",6.0,South of Market,,POINT (-122.41254 37.774155),1185436-04-181-1086516-7220-7229-04-18-2018,32.0,1.0,10.0,34.0,32.0,2018,2018-04-18
135173,1307649-06-221,1086673,383 Hyde Inc,Suragan,250 Hyde St,San Francisco,CA,94102-3324,10/12/2018,,06/14/2022,,1122 Folsom St,San Francisco,94103,CA,7220-7229,Food Services,False,False,H25,"Restaurant 1,000 - 2,000 Sqft",5.0,Tenderloin,,POINT (-122.41576 37.783062),1307649-06-221-1086673-7220-7229-06-14-2022,20.0,5.0,10.0,36.0,20.0,2022,2022-06-14
135222,1179316-02-181,1083732,Sunday Boba Llc,Sunday At The Museum,200 Larkin St,San Francisco,CA,94102,02/16/2018,08/01/2022,02/16/2018,08/01/2022,,,,,7220-7229,Food Services,False,False,H26 Pos01,Multiple,5.0,Tenderloin,,POINT (-122.416756 37.77968),1179316-02-181-1083732-7220-7229-02-16-2018,21.0,5.0,10.0,36.0,21.0,2018,2018-02-16
